oxy,D_Rc,Ta,area,speed,e,angle,saturation,cell_img,Ca,sat_norm,D
0,0.003017469,0.032272024,57.2271,0.003789333,1.313235372,66.49773026,-0.091777334,"[[49 55 48 ... 54 51 56]
 [48 55 47 ... 51 52 58]
 [47 50 53 ... 50 49 50]
 ...
 [56 56 55 ... 59 55 59]
 [50 51 48 ... 53 57 56]
 [49 50 46 ... 56 55 51]]",2.18e-05,-0.053567657,0.0005639290476015734
0,0.001254335,0.029659203,58.1728,0.004211667,1.324041772,66.80140686,-0.053783285,"[[57 57 52 ... 49 56 52]
 [51 47 53 ... 56 53 52]
 [54 45 54 ... 57 54 52]
 ...
 [49 51 54 ... 53 51 55]
 [54 57 52 ... 53 48 49]
 [48 54 48 ... 49 52 47]]",2.42e-05,-0.00871342,0.0005098465777820561
0,0.006191013,0.030763098,43.3356,0.00405,1.142783891,57.35121536,0.027320169,"[[84 88 84 ... 89 85 80]
 [88 85 85 ... 83 89 86]
 [83 85 83 ... 78 82 83]
 ...
 [93 86 86 ... 82 85 87]
 [87 93 87 ... 87 83 89]
 [78 79 83 ... 85 77 83]]",2.33e-05,0.087034037,0.0007098805139423476
0,0.033804434,0.058444247,32.9868,0.005068,0.997038196,38.65980911,-0.109486714,"[[88 85 85 ... 85 89 89]
 [88 88 92 ... 88 88 82]
 [86 93 90 ... 95 86 88]
 ...
 [77 83 86 ... 80 88 84]
 [89 84 87 ... 92 82 79]
 [86 87 82 ... 76 86 81]]",2.91e-05,-0.074474634,0.001771746486473377
0,0.019812636,0.048161474,54.8702,0.00391,1.285908225,66.37062073,-0.052952631,"[[89 88 87 ... 94 85 90]
 [84 92 91 ... 81 81 86]
 [83 87 93 ... 78 84 82]
 ...
 [82 88 92 ... 85 88 86]
 [85 85 87 ... 85 93 84]
 [87 85 89 ... 86 91 94]]",2.25e-05,-0.007732783,0.0008777346173332702
0,0.010198803,0.042356884,75.6168,0.002218462,1.509561636,27.23116016,-0.073246993,"[[92 89 85 ... 88 91 87]
 [85 88 92 ... 79 86 87]
 [87 89 89 ... 83 92 81]
 ...
 [84 82 85 ... 76 83 82]
 [89 92 90 ... 89 84 84]
 [92 87 89 ... 85 85 87]]",1.28e-05,-0.031691485,0.0005601517652161954
0,0.113850067,0.310138668,41.7382,0.005068,1.121523971,60.25511551,-0.075478386,"[[52 51 52 ... 52 53 53]
 [50 51 51 ... 46 52 49]
 [53 55 50 ... 50 54 53]
 ...
 [55 49 53 ... 52 56 54]
 [50 51 47 ... 52 50 53]
 [49 54 51 ... 53 51 50]]",2.91e-05,-0.034325778,0.007430571227316943
0,0.006566547,0.161869809,53.7236,0.001693125,1.272401745,18.43494797,-0.007063727,"[[83 83 91 ... 88 85 89]
 [92 90 88 ... 91 85 87]
 [89 90 87 ... 92 86 86]
 ...
 [87 84 86 ... 88 89 87]
 [81 86 86 ... 85 85 90]
 [94 91 89 ... 87 90 82]]",9.74e-06,0.046441801,0.0030130112092264854
0,0.062185223,0.24659825,55.86,0.00469,1.297454595,59.00458717,-0.073907971,"[[54 49 53 ... 47 52 47]
 [57 54 56 ... 52 53 54]
 [51 54 50 ... 50 58 50]
 ...
 [49 47 55 ... 55 49 54]
 [54 52 49 ... 54 55 55]
 [58 54 51 ... 54 51 52]]",2.7e-05,-0.03247181,0.0044145766201217325
0,0.040134589,0.188475421,42.6643,0.005205455,1.133898067,39.28940582,-0.085322746,"[[81 84 89 ... 83 89 93]
 [87 89 91 ... 87 92 88]
 [88 85 88 ... 89 86 84]
 ...
 [81 86 85 ... 88 83 83]
 [84 92 89 ... 89 85 87]
 [85 85 82 ... 92 81 90]]",2.99e-05,-0.045947631,0.004417637720529811
0,0.019888988,0.045454558,43.7864,0.004596667,1.148712436,90.0,-0.074197971,"[[90 86 91 ... 91 90 83]
 [89 84 87 ... 77 80 83]
 [90 84 86 ... 88 88 83]
 ...
 [87 87 89 ... 87 83 84]
 [91 79 87 ... 89 83 89]
 [86 83 86 ... 86 90 87]]",2.64e-05,-0.032814172,0.001038097628487384
0,0.009733031,0.040163554,61.4264,0.003157778,1.360564811,38.6598053,-0.02463606,"[[54 54 48 ... 50 51 54]
 [56 54 50 ... 55 49 58]
 [48 55 58 ... 54 46 52]
 ...
 [51 49 56 ... 45 50 50]
 [53 54 55 ... 52 56 49]
 [52 55 50 ... 57 53 53]]",1.82e-05,0.025696615,0.0006538484104554393
0,0.003383886,0.026089811,54.9584,0.002695,1.286941314,83.99098969,-0.031760899,"[[88 82 78 ... 80 85 86]
 [91 81 87 ... 88 85 81]
 [84 83 79 ... 80 88 87]
 ...
 [82 88 79 ... 81 82 89]
 [87 82 87 ... 83 86 84]
 [91 85 85 ... 84 87 92]]",1.55e-05,0.017285318,0.00047471926038603746
0,0.080605368,0.168643612,57.9866,0.004561667,1.321921071,30.40809059,-0.05751212,"[[81 92 87 ... 87 89 81]
 [88 86 91 ... 89 86 90]
 [85 88 83 ... 92 83 81]
 ...
 [83 84 89 ... 85 87 84]
 [85 86 88 ... 79 89 87]
 [89 88 92 ... 80 87 88]]",2.62e-05,-0.013115531,0.0029083204050591
0,0.012596739,0.068538812,65.9344,0.00391,1.409605975,77.47119141,-0.047456118,"[[91 89 92 ... 91 81 86]
 [88 88 89 ... 89 88 84]
 [82 86 89 ... 83 89 85]
 ...
 [83 86 86 ... 88 83 87]
 [86 91 85 ... 89 90 87]
 [90 81 79 ... 87 87 83]]",2.25e-05,-0.001243823,0.0010395000485330875
